"","X0.06","X0.22","X0.1","X0.07","X0.1.1","X0.18","X0.18.1","X0.09","x","0","1","2","Var1","Freq"
"1",0.06,0.22,0.1,0.07,0.1,0.18,0.18,0.09,209.419000612282,0.59,0.25,0.16,"0",1234
"2",0.19,0.18,0.06,0.05,0.15,0.18,0.09,0.11,222.369676984127,0.54,0.26,0.2,"1",875
"3",0.33,0.2,0.05,0.03,0.16,0.07,0.11,0.06,187.01285914117,0.51,0.28,0.21,"2",1035
"4",0.05,0.19,0.1,0.04,0.17,0.14,0.18,0.12,250.150457504146,0.55,0.29,0.16,"3",804
