"","V1","V2","V3","V4"
"1",0.399,0.184,0.268,0.149
"2",0.204,0.341,0.269,0.186
"3",0.275,0.205,0.392,0.128
"4",0.24,0.248,0.149,0.363
"5",0.415,0.169,0.242,0.174
"6",0.287,0.322,0.239,0.152
"7",0.309,0.251,0.329,0.111
"8",0.245,0.22,0.18,0.355
"9",0.381,0.196,0.274,0.149
"10",0.27,0.3,0.291,0.139
"11",0.26,0.24,0.338,0.162
"12",0.247,0.212,0.171,0.37
